original,summary
"
11. Rent authority to fix standard rent, etc.
(1) The Rent Authority shall, on an application made to him in this behalf, in the prescribed manner, fix in respect of any premises-
(i) the deemed rent for the purpose of clause (c) of sub- section (1) of section 3;
(ii) the enhancement in rent in the manner provided in Schedule I:
(iii) the standard rent as per the provisions of section 7;
(iv) the other charges payable as per the provisions of section 8; and
(v) the revision in rent as per the provisions of section 9:
Provided that it shall not be permissible for the landlord to apply for the fixation of standard rent as per the provisions of section 7 in the case of a tenancy entered into after the commencement of this Act.
(2) In working out the cost of construction of any premises or the., market price of land comprised in such premises for the purposes of section 7 or the expenditure incurred for any improvement, addition or structural alteration or the decrease, diminution or deterioration of accommodation in a premises for the purpose of section 9, the Rent Authority may take the assistance of a prescribed valuer who shall carry out the assessment in the manner prescribed.
(3) In fixing the standard rent of any premises or the lawful increase or decrease of the rent or determining the other charges payable, the Rent Authority shall fix or determine an amount which appears to him to be reasonable having regard to the provisions of section 7 or section 9 or section 8 and the other circumstances of the case.
(4) In fixing the standard rent of any premises part of which has been lawfully sub- let, the Rent Authority may also fix the standard rent of such part sub- let.
(5) Where for any reason it is not possible to determine the standard rent of any premises on the principles set forth in section 7, the Rent Authority may fix such rent as would be reasonable having regard to the situation, locality and condition of the premises and the amenities provided therein, and where there are similar or nearly similar premises in the locality, having regard also to the rent payable in respect of such premises.
(6) The standard rent shall in all cases be fixed for a tenancy, of twelve months: Provided that where any premises are let or re- let for a Period of less than twelve months, the standard rent for such tenancy shall bear the same proportion to the annual rent as the period of tenancy bears to twelve months.
(7) In fixing the standard rent of any premises under this section, the Rent Authority shall fix the standard rent thereof in an unfurnished state and may also determine an additional charge to be payable on account of any fittings or furniture supplied by the landlord and it shall be lawful for the landlord to recover such additional charge from the tenant.
(8) in fixing the standard rent or lawful increase or decrease of rent or determining the other charges payable in respect of any premises under this section, the Rent Authority shall specify a date from which the amount so fixed shall be deemed to have effect: Provided that, in the matter of standard rent, in no case the date so specified shall be earlier than the date of the filing of the application for the increase or decrease of the standard rent: Provided further that if the increase is because of improvement, addition or structural alteration, it shall come into effect from the (late of completion of such improvement, addition or alteration.
(9) The Rent Authority may, while fixing standard rent or lawful increase or decrease in rent or other charges payable, order for payment of the arrears of amount due by the tenant to the landlord in such number of instalments as it deems proper.","This section outlines the powers and responsibilities of the Rent Authority in determining various aspects of rent for premises under the Delhi Rent Act, 1995:

Applications to Rent Authority:

Landlords or tenants can apply to the Rent Authority to determine:
(i) Deemed rent for calculating property tax.
(ii) Rent enhancement as per Schedule I.
(iii) Standard rent per Section 7.
(iv) Other charges per Section 8.
(v) Rent revision per Section 9.
Landlords cannot apply for standard rent if the tenancy began after the Act's commencement.
Assessment Assistance:

The Rent Authority may use a prescribed valuer to assess the cost of construction, market price of land, or expenses for improvements.
Reasonable Determinations:

The Rent Authority decides amounts reasonably, considering Sections 7, 8, and 9 and the specific circumstances of each case.
Sub-let Premises:

If part of a premises is sub-let legally, the Rent Authority can determine the standard rent for that sub-let portion.
Alternative Methods for Determining Standard Rent:

If the standard rent can't be determined according to Section 7 principles, the Rent Authority considers the situation, locality, condition of the premises, and amenities. Similar premises in the locality are also considered.
Fixed Duration for Standard Rent:

Standard rent is set for a 12-month tenancy. For tenancies less than 12 months, the standard rent is proportionate to the annual rent based on the tenancy period.
Additional Charge for Furnished Premises:

The Rent Authority determines the standard rent for unfurnished premises but may specify an additional charge for fittings or furniture supplied by the landlord, which can be recovered from the tenant.
Effective Date of Determinations:

The Rent Authority specifies a date from which the determined amounts take effect. This date can't be earlier than the application filing date. For improvements, the effective date is the completion date.
Arrears Payment Order:

The Rent Authority can order tenants to pay overdue amounts in installments, as deemed appropriate."
"
12. Fixation of interim rent. If an application for fixing the standard rent or for determining the lawful increase or decrease of rent or other charges payable is made under section 11, the Rent Authority shall, as expeditiously as possible, make an order specifying the amount to be paid pending final decision on the appli- cation and shall appoint the date from which the amount so specified shall be deemed to have effect.","This section of the Delhi Rent Act, 1995, addresses the interim determination of rent while a formal application for fixing standard rent or determining lawful increases, decreases, or other charges is pending:

Interim Rent Determination:

When an application is submitted under Section 11 to fix standard rent, determine lawful changes, or other charges, the Rent Authority will promptly issue an order specifying the interim amount to be paid while the formal application is being processed.
Expeditious Process:

The Rent Authority aims to handle this interim rent determination as quickly as possible.
Effective Date:

The Rent Authority also appoints a date from which the specified interim amount is considered effective.
In essence, this section ensures that, while the formal process is ongoing, there is a temporary determination of the rent amount to be paid, providing a practical solution for both landlords and tenants during the application process."
"
13. Limitation for application for fixation of standard rent, etc. A tenant may file an application to the Rent Authority for fixing the standard rent of the premises and a landlord or a tenant may file application for determining the lawful increase or decrease of rent or other charges payable,-
(a) in the case of any premises which was let and in which the cause of action for lawful increase or decrease of rent or payment of other charges arose, before the commencement of this Act, within two years from such commencement;
(b) in the case of any premises which was let after the commencement of this Act,-
(i) for fixing the standard rent thereof. within two years from the date on which the premises was let;
(ii) in any other case, within two years from the date on which cause of action arose: Provided that the Rent Authority may entertain the application after the expiry of the said period of two years, if he is satisfied that the applicant was prevented by sufficient cause from filing the application in time.","This section sets a time limit for filing applications related to rent matters under the Delhi Rent Act, 1995:

Application Types:

A tenant can apply to the Rent Authority to fix the standard rent of the premises.
Both landlords and tenants can apply to determine lawful increases or decreases in rent or other charges.
Time Limits for Premises Let Before the Act:

For premises let before the Act started, applications must be filed within two years from the Act's commencement date if the cause of action for rent-related matters arose before that date.
Time Limits for Premises Let After the Act:

For premises let after the Act started:
(i) Applications to fix the standard rent must be filed within two years from the date the premises was let.
(ii) For other rent-related matters, applications must be filed within two years from the date the cause of action arose.
Provision for Late Applications:

The Rent Authority has the discretion to consider applications filed after the two-year period if satisfied that the applicant had a valid reason for not filing the application on time.
In summary, this section specifies time limits for tenants, landlords, or tenants to file applications related to rent matters, with allowances for late applications under certain circumstances."
"
14. Limitation of liability of middlemen. No collector of rent or middleman shall be liable to pay to Ms' principal, in respect of any premises, any sum by way of rental and other charges which exceeds the amount which he is entitled under this Act to realise from the tenant or tenants of the premises.","This section states that collectors of rent or middlemen are not responsible for paying property owners (principals) more than what they are legally allowed to collect from the tenants under the Delhi Rent Act, 1995. In simpler terms, the law limits the liability of middlemen, ensuring they are not obligated to pay the property owner an amount that exceeds what is legally permissible under the Act in terms of rental and other charges. There are no specific numeric values mentioned; it's more of a principle emphasizing that middlemen should only collect what is allowed by the law from the tenants and are not liable for amounts beyond that."
"
15. Receipt to be given for rent paid.
(1) Every tenant shall pay rent and other charges payable within the time fixed by contract or in the absence of such stipulation, by the fifteenth day of the month next following the month for which it is payable and where any default occurs in the payment of rent or other charges, the tenant shall be liable to pay simple interest at the rate of fifteen per cent. per annum, from the date on which such payment of rent and other charges payable is due to the date on which it is paid.
(2) Every tenant who makes payment of rent or other charges payable or advance towards such rent or other charges to his landlord shall be entitled, against acknowledgment, to obtain forthwith from the landlord or his authorised agent a writen receipt for the amount paid to him. signed by the landlord or his authorised agent: Provided that it shall be open to the tenant to remit the rent to his landlord by postal money order.
(3) If the landlord or his authorised agent refuses or neglects: to deliver to the tenant the receipt referred to in sub- section (2), the Rent Authority may, on an application made to him in this behalf by the- tenant within two months from the date' of payment and after hearing the landlord or his authorised agent, by order direct the landlord or his authorised agent to pay to the tenant,
by way of damages, such sum not exceeding double the amount of rent or other charges paid by the tenant and the costs of the application and shall also grant a certificate to the tenant in respect of the rent or other charges paid.
(4) If the landlord or his authorised agent refuses to accept or evades acceptance of receipt of rent and other charges payable to him, the tenant may, by notice in writing, ask the landlord to supply him the particulars of his bank account in a bank located in the National Capital Territory of Delhi into which the tenant may deposit the rent and other charges payable to the credit of the landlord.
(5) If the landlord supplies the particulars of his bank account, the tenant shall deposit the rent and other charges payable in such bank account from time to time.
(6) If the landlord does not supply the particulars of bank account under sub- section (4), the tenant shall remit the rent and the other charges payable to the landlord from time to time through postal money order after deducting the postal charges.","This section outlines the rules regarding rent payments and receipts under the Delhi Rent Act, 1995:

Payment Deadline:

Tenants must pay rent and other charges within the time specified in the contract or, if not specified, by the fifteenth day of the following month.
Interest for Late Payment:

If there's a delay in payment, the tenant is liable to pay simple interest at a rate of fifteen percent per annum, calculated from the due date to the actual payment date.
Receipt Requirement:

Tenants making payments are entitled to receive a written receipt immediately from the landlord or their authorized agent. This receipt must be signed by the landlord or agent.
Alternative Payment Methods:

Tenants can use postal money orders to remit rent to their landlords.
Non-Receipt of Receipt:

If the landlord or their agent refuses or neglects to provide a receipt, the tenant can apply to the Rent Authority within two months of the payment date. The Rent Authority may order the landlord to pay damages, not exceeding double the rent or charges, along with application costs.
Bank Account Details:

If the landlord refuses to accept or avoids receiving rent, the tenant can request written details of the landlord's bank account in Delhi.
Payment into Bank Account:

If the landlord provides bank account details, the tenant should deposit rent and charges into that account.
Payment through Postal Money Order:

If the landlord doesn't provide bank account details, the tenant must remit rent and charges through postal money orders, deducting postal charges.
In summary, this section establishes guidelines for timely rent payment, issuance of receipts, and procedures for handling situations where receipts are not provided or where alternative payment methods are necessary."
"
16. Deposit of rent by tenant.
(1) Where the landlord does no accept any rent and other charges payable tendered by the tenant within the time and the manner referred to in section 15 or refuses or neglects to deliver a receipt referred to therein or where there is a bona fide doubt as to the person or persons to whom the rent and other charges are payable, the tenant may deposit such rent and other, charges payable with the Rent Authority in the prescribed manner: Provided that in cases where there is a bona fide doubt as to the person or persons to whom the rent and other charges are payable, the tenant may remit such rent and other charges payable to the Rent. Authority by postal money order.
(2) The deposit shall be accompanied by an application by the tenant containing the following particulars, namely:-
(a) the premises for which the rent and other charges payable are deposited with a description sufficient for identifying the premises;
(b) the period for which the rent and other charges payable are deposited;
(c) the name and address of the landlord or the person or persons claiming to be entitled to such rent and other charges payable:
(d) the reasons and circumstances for which the application for depositing the rent and other charges payable is made;
(e) such other particulars as may be prescribed.
(3) On deposit of the rent and other charges payable being made, the Rent Authority shall send in the prescribed manner a copy of the application to the landlord or the persons claiming to be entitled to the rent and other charges payable with an endorsement of the date of the deposit.
(4) if an application is made for the withdrawal of any deposit of rent and other charges payable the Rent Authority shall, if satisfied that the applicant is the person entitled to receive the rent and other charges deposited, order the amount of the rent and other charges to be paid to him in the manner prescribed:
Provided that no order for payment of any deposit of rent and other charges payable shall be made by the Rent Authority under this sub- section without giving all the persons named by the tenant in his application under subsection (2) as claiming to be entitled to payment of such rent and other charges payable an opportunity of being heard and such order shall be without prejudice to the rights of such I persons to receive such rent and other charges payable being decided by a court of competent jurisdiction.
(5) If at the time of filing the application under sub- section (4) but not after the expiry of thirty days from receiving the notice of deposit, the landlord or the person or persons claiming to be entitled to the rent and other charges payable complains or complain to the Rent Authority that the statements in the tenant' s application of the reasons and circumstances, which led him to deposit the rent and other charges payable are untrue, the Rent Authority, after giving the tenant an opportunity of being heard, may levy on the tenant a fine which may extend to an amount equal to two months, rent, if the Rent Authority is satisfiend that the said statements were materially untrue and may order that a sum out of the line realised be paid to the landlord as compensation.
(6) The Rent Authority may, on the complaint of the tenant and after giving an opportunity to the landlord of being heard, levy on the landlord a fine which may extend to an amount equal to two months' rent, if the Rent Authority is satisfied that the landlord, without any reasonable cause, refused to accept rent and other charges payable though tendered to him within the time referred to in section 15 and may further order that sum of fine realised be paid to the tenant as compensation","This section outlines the process for tenants to deposit rent and other charges with the Rent Authority when the landlord refuses to accept payment or there is uncertainty about the rightful recipient. Here's a breakdown:

Conditions for Tenant's Deposit:

If the landlord rejects or neglects to accept rent and charges within the specified time or there's doubt about the rightful recipient, the tenant can deposit the amount with the Rent Authority.
Deposit Application Details:

The tenant must submit an application with specific details, including:
(a) Description of the premises.
(b) Period for which payment is made.
(c) Name and address of the landlord or claimant.
(d) Reasons for the deposit.
(e) Any other prescribed particulars.
Communication to Landlord:

Once the deposit is made, the Rent Authority notifies the landlord or claimed recipient with a copy of the application, endorsed with the deposit date.
Withdrawal of Deposit:

If the tenant applies to withdraw the deposit, the Rent Authority can order the payment to the entitled person, following a hearing. All concerned parties are given an opportunity to be heard, and the order doesn't prejudice their rights in a court.
Penalties for Untrue Statements:

If, within 30 days of receiving the deposit notice, the landlord claims that the tenant's statements about the reasons for the deposit are untrue, the Rent Authority may fine the tenant (up to two months' rent) if the statements are found to be materially untrue. A portion of the fine may be compensated to the landlord.
Fine on Landlord for Unreasonable Refusal:

The Rent Authority can fine the landlord (up to two months' rent) if, without reasonable cause, they refuse to accept rent and charges when tendered by the tenant within the specified time. A part of the fine may be compensated to the tenant.
In summary, this section provides a legal mechanism for tenants to deposit rent and charges with the Rent Authority when facing difficulties with the landlord, and it establishes penalties for false statements or unreasonable refusals by either party."
"
17. Time limit for making deposit and consequences of incorrect particulars in application for deposit.
(1) No rent and other charges deposited under section 16 shall be considered to have been validly deposited' tinder that section, unless the deposit is made within twenty- one days of the time referred to in section 15 for payment of the rent and other charges payable.
(2) No such deposit shall be considered to have been validly made, if the tenant wilfully makes any false statement in his application for depositing the rent and other charges payable, unless the landlord has withdrawn the amount deposited before the date of filing an application for the recovery of possession of the premises from the tenant.
(3) If the rent and other charges payable are deposited within the time mentioned in sub- section (1) and do not cease to be a valid deposit for the reasons mentioned in sub- section (2), the deposit shall constitute payment of rent and other charges payable to the landlord, as if the amount deposited had been validly tendered.","This section outlines the time limit for making rent deposits and the consequences of providing incorrect information in the application for deposit under the Delhi Rent Act, 1995:

Time Limit for Deposit:

Rent and other charges deposited under section 16 are considered valid only if deposited within 21 days from the time specified in section 15 for paying the rent and other charges.
Consequences of False Statements:

If a tenant knowingly makes false statements in the application for depositing rent and other charges, the deposit will not be considered valid unless the landlord withdraws the deposited amount before filing an application for possession of the premises.
Validity of Deposit:

If the deposit is made within the specified time and remains valid (not invalidated by false statements), it is treated as payment of rent and other charges to the landlord, as if the amount had been properly tendered.
In essence, this section emphasizes the importance of timely and accurate rent deposits, setting a 21-day limit and specifying the consequences of providing false information in the deposit application."
"
18. Saving as to acceptance of rent and other charges payable and forfeiture thereof in deposit.
(1) The withdrawal of rent and other charges payable deposited under section 1- 6 in the manner provided therein shall not operate as an admission against the person withdrawing it of the correctness of the, rate, of rent and other charges payable the period of default, the amount due, or of any other facts stated in the tenant' s application for depositing the rent and other charges payable under the said section.
(2) Any rent and other charges payable in deposit which are not withdrawn by the landlord or by the person or persons entitled to receive such rent and other charges payable shall be forfeited to Government by an order made by the Rent Authority, if they are not withdrawn before the expiration of five years from the date of posting of the notice or deposit.
(3) Before passing an. order of forfeiture, the Rent Authority shall give notice to the landlord or the person or persons entitled to receive the rent and other charges in deposit by registered post at the last known address of such landlord or person or persons and shall also publish the notice in his office and in any local newspaper. CHAP REPAIRS OF' PREMISES CHAPTER III REPAIRS OF' PREMISES","This section is about the deposit of rent and other charges under the Delhi Rent Act, 1995:

Non-Admission on Withdrawal:

If a person withdraws rent and other charges deposited under Section 16 (manner of deposit), it does not mean they admit the correctness of the rent rate, period of default, amount due, or any other details mentioned in the tenant's application for deposit.
Forfeiture of Unwithdrawn Deposits:

Rent and other charges deposited but not withdrawn by the landlord or entitled parties will be forfeited to the government.
The Rent Authority can order this forfeiture if the deposits remain unclaimed for five years from the date of posting the notice or deposit.
Notice Requirement:

Before ordering forfeiture, the Rent Authority must:
Send a notice by registered post to the landlord or entitled parties at their last known address.
Publish the notice in the Rent Authority's office and in a local newspaper.
In summary, this section outlines the rules regarding the withdrawal and forfeiture of rent and other charges deposited under Section 16, emphasizing that withdrawal doesn't imply admission of correctness, and unclaimed deposits may be forfeited to the government after a specified period."
"
19. Duties of landlord.
(1) Subject to any contract in writing to the contrary, every landlord shall be bound to keep the premises in good and tenantable repairs in relation to matters falling under Part. A of Schedule III. Explanation.-"" Good and tenantable repairs"" under this section and section 20 shall mean such repairs as shall keep the premises in the same coudition in which it was let out except for the normal wear and tear.
(2) Where any repairs, in relation to a. matter falling under Part A of Schedule III, without which the premises are not habitable or useable except with undue inconvenience are to be made and the landlord neglects or fails to make them within a period of three months after notice in writing, the tenant may apply to the Rent Authority for permission to make, such repairs himself and may submit to the Rent Authority an estimate of the cost of such repairs, and, thereupon, the Rent Authority may, after giving the landlord an opportunity of being heard and after considering such estimate of the cost and making such inquiries as it may consider necessary, by an order in writing, permit the tenant to make such repairs at such cost as may be specified in the order and it shall thereafter be lawful for the tenant to make such repairs himself and to deduct the cost thereof, which shall in no case exceed the amount so specified, from the rent or otherwise recover it from the landlord: Provided that the amount so deducted or recoverable from rent in any year shall not exceed one- half of the rent payable by the tenant for that, year and any amount remaining not recovered in that year shall be deducted or recovered from rent in the subsequent years at the rate of not more than twenty- five per cent. of the rent for a month: Provided further that where there are more than one premises owned by a, landlord in a building,: he tenants thereof may jointly carry out the repairs and share the expenses proportionately.
(3) Nothing in sub- section (2) shall apply to a premises which-
(a) at the time of letting out was not habitable or useable except with undue inconvenience and the tenant had agreed to take the same in that condition;
(b) after being let out was caused to be not habitable or useable except with undue inconvenience by the tenant.","This section outlines the responsibilities of landlords regarding the maintenance of rented premises under the Delhi Rent Act, 1995:

Landlord's Duty:

Every landlord, unless there's a written agreement stating otherwise, is obligated to maintain the premises in good and tenantable repairs concerning matters listed in Part A of Schedule III.
Definition of ""Good and Tenantable Repairs"":

""Good and tenantable repairs"" means maintaining the premises in the same condition as when it was initially rented, excluding normal wear and tear.
Tenant's Right to Repair:

If repairs related to matters in Part A of Schedule III are necessary for the habitability or usability of the premises and the landlord fails to make them within three months after written notice, the tenant can apply to the Rent Authority.
The tenant should provide an estimate of the repair costs. The Rent Authority, after hearing the landlord and considering the estimate, can permit the tenant to make the repairs at the specified cost.
The tenant can then deduct or recover the repair cost from the rent. The deduction or recovery in a year cannot exceed half of the annual rent. Any remaining amount can be deducted or recovered in subsequent years at a rate of up to 25% of the monthly rent.
Joint Repairs by Tenants:

In buildings with multiple premises owned by the same landlord, tenants can collectively carry out repairs and share the expenses proportionately.
Exceptions:

Sub-section (2) does not apply to premises:
(a) That were not habitable or usable except with undue inconvenience when initially rented, and the tenant agreed to take them in that condition.
(b) If the tenant causes the premises to become uninhabitable or unusable except with undue inconvenience after renting.
In summary, landlords are responsible for maintaining the rented premises, and if they fail to make necessary repairs, tenants have the right to seek permission to make the repairs themselves, subject to certain conditions and limitations."
"
20. Duties of tenant.
(1) Every tenant shall be bound to keep the premises in good and tenantable repairs in relation to matters falling under Part B of Schedule III.
(2) Where any repairs, in relation to a matter falling under Part B of Schedule 111, without which the premises are not habitable or useable except with undue inconvenience, are to be made and the tenant neglects or fails to
Make them within a period of two months after notice in writing, the landlord may apply to the Rent Authority for permission to make such repairs himself and may submit to the Rent Authority an estimate of the cost of such repairs, and, thereupon the Rent Authority may, after giving the tenant an opportunity of being heard and after considering such estimate of the cost and making, such enquiries as he, may consider necessary, by an order in writing, permit the landlord to make, such repairs at such, cost as may be specified in the order, and it shall thereafter be lawful for the landlord to make such repairs himself and to recover the cost, of such repairs, which shall in no case exceed the amount so specified, from the tenant.
(3) The landlord or a person authorised by him shall have the right to enter and inspect the premises after notice to the tenant in the manner prescribed.
(4) The tenant shall make good all damages caused to the premises by Ms negligence within three months of being informed in writing to do so by the landlord failing which the landlord may apply to the Rent Authority for permission to make good the said damages and the Rent Authority shall decide the matter in the manner provided in sub- section (2).
(5) The tenant shall hand over the possession of the premises on determination of tenancy in the same condition, except for the normal wear and tear, as it was in when it was handed over to him at the beginning of such tenancy and in a case where certain damages have been caused, not being damages caused by force majeur, the tenant shall make good the damages caused to the premises failing which the landlord may apply to the Rent Authority for permission to make good the said damages and the Rent Authority shall decide the matter in the manner provided in sub- section (2).
(6) The tenant shall not, whether during the subsistence of tenancy, or thereafter, demolish any improvement or alteration carried out by him' in the premises or remove any material used in such improvement or alteration, other than any fixture of a removable nature, without the permission of the landlord failing which such demolition or alteration shall be deemed to be a damage caused by such tenant under sub- section (4) and shall be dealt with accordingly.","This section outlines the responsibilities and duties of a tenant under the Delhi Rent Act, 1995:

Maintenance of Premises:

The tenant is obligated to keep the premises in good and tenantable repair, especially concerning matters listed in Part B of Schedule III.
Repair Neglect and Landlord's Rights:

If necessary repairs (related to Part B of Schedule III) are not made by the tenant within two months after receiving a written notice, the landlord can apply to the Rent Authority for permission to make the repairs. The landlord must provide an estimate of the repair cost.
The Rent Authority, after considering the estimate and giving the tenant an opportunity to be heard, may permit the landlord to make the repairs at a specified cost, which the tenant is then liable to pay.
Right to Enter and Inspect:

The landlord or an authorized person has the right to enter and inspect the premises after giving notice to the tenant in the prescribed manner.
Damages to Premises:

The tenant is responsible for repairing damages caused by their negligence within three months of receiving a written notice from the landlord. If the tenant fails to do so, the landlord can apply to the Rent Authority for permission to make the repairs, and the Rent Authority will decide the matter.
Return of Possession:

Upon the termination of the tenancy, the tenant must return the premises in the same condition (excluding normal wear and tear) as it was at the beginning of the tenancy. If damages are caused, the tenant is required to make the necessary repairs.
Demolition or Alteration:

The tenant cannot demolish any improvement or alteration made in the premises without the landlord's permission. If done without permission, it is considered damage, and the landlord can seek permission from the Rent Authority to address the issue."
